strategy_type,strategy_value,contacted_n,contacted_share,precision,recall,expected_conversions,expected_revenue,contact_cost,expected_net_gain,roi_proxy
threshold,0.1,2791,1.0,0.4736653529201003,1.0,1322,158640.0,5582.0,153058.0,27.41992117520602
threshold,0.15000000000000002,2729,0.9777857398781798,0.48039574935873947,0.9916792738275341,1311,157320.0,5458.0,151862.0,27.82374496152437
threshold,0.2,2540,0.9100680759584379,0.5023622047244094,0.9652042360060514,1276,153120.0,5080.0,148040.0,29.141732283464567
threshold,0.25,2303,0.8251522751701899,0.5319148936170213,0.926626323751891,1225,147000.0,4606.0,142394.0,30.914893617021278
threshold,0.30000000000000004,1982,0.7101397348620566,0.5802219979818365,0.869894099848714,1150,138000.0,3964.0,134036.0,33.81331987891019
threshold,0.35,1678,0.6012182013615192,0.636471990464839,0.8078668683812406,1068,128160.0,3356.0,124804.0,37.18831942789035
threshold,0.4,1408,0.5044786814761734,0.6953125,0.7405446293494705,979,117480.0,2816.0,114664.0,40.71875
threshold,0.45000000000000007,1197,0.4288785381583662,0.7468671679197995,0.6762481089258698,894,107280.0,2394.0,104886.0,43.81203007518797
threshold,0.5,1024,0.3668935865281261,0.7958984375,0.6164901664145235,815,97800.0,2048.0,95752.0,46.75390625
threshold,0.55,894,0.3203152991759226,0.8154362416107382,0.5514372163388804,729,87480.0,1788.0,85692.0,47.92617449664429
top_fraction,0.3,838,0.3,0.8269689737470167,0.5242057488653555,693,83160.0,1676.0,81484.0,48.618138424821005
threshold,0.6,779,0.2791114295951272,0.8395378690629012,0.4947049924357035,654,78480.0,1558.0,76922.0,49.37227214377407
threshold,0.65,700,0.2508061626657112,0.8528571428571429,0.451588502269289,597,71640.0,1400.0,70240.0,50.17142857142857
threshold,0.7000000000000001,626,0.2242923683267646,0.8578274760383386,0.4062027231467474,537,64440.0,1252.0,63188.0,50.46964856230032
top_fraction,0.2,559,0.2,0.8586762075134168,0.3630862329803328,480,57600.0,1118.0,56482.0,50.52057245080501
threshold,0.75,517,0.18523826585453243,0.8704061895551257,0.340393343419062,450,54000.0,1034.0,52966.0,51.22437137330754
threshold,0.8,411,0.14725904693658187,0.878345498783455,0.273071104387292,361,43320.0,822.0,42498.0,51.7007299270073
threshold,0.85,290,0.10390541024722322,0.9,0.197428139183056,261,31320.0,580.0,30740.0,53.0
top_fraction,0.1,280,0.1,0.9,0.19062027231467474,252,30240.0,560.0,29680.0,53.0
threshold,0.9,159,0.05696882837692583,0.9559748427672956,0.11497730711043873,152,18240.0,318.0,17922.0,56.35849056603774
top_fraction,0.05,140,0.05,0.9571428571428572,0.10136157337367625,134,16080.0,280.0,15800.0,56.42857142857143
