threshold,contacted_n,contacted_share,tp,fp,fn,tn,precision,recall,f1,conversion_rate_targeted
0.1,2791,1.0,1322,1469,0,0,0.4736653529201003,1.0,0.6428397763189886,0.4736653529201003
0.15000000000000002,2729,0.9777857398781798,1311,1418,11,51,0.48039574935873947,0.9916792738275341,0.6472475931868674,0.48039574935873947
0.2,2540,0.9100680759584379,1276,1264,46,205,0.5023622047244094,0.9652042360060514,0.6607975142413257,0.5023622047244094
0.25,2303,0.8251522751701899,1225,1078,97,391,0.5319148936170213,0.926626323751891,0.6758620689655173,0.5319148936170213
0.30000000000000004,1982,0.7101397348620566,1150,832,172,637,0.5802219979818365,0.869894099848714,0.6961259079903148,0.5802219979818365
0.35,1678,0.6012182013615192,1068,610,254,859,0.636471990464839,0.8078668683812406,0.712,0.636471990464839
0.4,1408,0.5044786814761734,979,429,343,1040,0.6953125,0.7405446293494705,0.7172161172161172,0.6953125
0.45000000000000007,1197,0.4288785381583662,894,303,428,1166,0.7468671679197995,0.6762481089258698,0.7098054783644303,0.7468671679197995
0.5,1024,0.3668935865281261,815,209,507,1260,0.7958984375,0.6164901664145235,0.6947996589940324,0.7958984375
0.55,894,0.3203152991759226,729,165,593,1304,0.8154362416107382,0.5514372163388804,0.657942238267148,0.8154362416107382
0.6,779,0.2791114295951272,654,125,668,1344,0.8395378690629012,0.4947049924357035,0.6225606853879105,0.8395378690629012
0.65,700,0.2508061626657112,597,103,725,1366,0.8528571428571429,0.451588502269289,0.5905044510385756,0.8528571428571429
0.7000000000000001,626,0.2242923683267646,537,89,785,1380,0.8578274760383386,0.4062027231467474,0.5513347022587269,0.8578274760383386
0.75,517,0.18523826585453243,450,67,872,1402,0.8704061895551257,0.340393343419062,0.4893964110929853,0.8704061895551257
0.8,411,0.14725904693658187,361,50,961,1419,0.878345498783455,0.273071104387292,0.4166185804962493,0.878345498783455
0.85,290,0.10390541024722322,261,29,1061,1440,0.9,0.197428139183056,0.3238213399503722,0.9
0.9,159,0.05696882837692583,152,7,1170,1462,0.9559748427672956,0.11497730711043873,0.20526671168129643,0.9559748427672956
